"부채보유 여부별","소득5분위별","자산5분위별","자산, 부채, 소득 분류별",2023,2024,2025
"부채 보유","소득1분위","자산5분위","자산 (만원)",137194,140698,131242
"부채 보유","소득1분위","자산5분위","부채 (만원)",29383,26312,18223
"부채 보유","소득1분위","자산5분위","원리금상환액(전년도) (만원)",794,776,1024
"부채 보유","소득1분위","자산5분위","순자산액 (만원)",107811,114386,113019
"부채 보유","소득2분위","전체","가구분포 (%)",11.2,11.2,10.6
"부채 보유","소득2분위","전체","가구원수 (명)",2.0,1.9,1.8
"부채 보유","소득2분위","전체","가구주 연령 (세)",52.5,52.1,53.0
"부채 보유","소득2분위","전체","경상소득(전년도) (만원)",3354,3553,3632
"부채 보유","소득2분위","전체","자산 (만원)",32279,33404,33979
"부채 보유","소득2분위","전체","부채 (만원)",7914,8290,8273
"부채 보유","소득2분위","전체","원리금상환액(전년도) (만원)",1094,1043,1079
"부채 보유","소득2분위","전체","순자산액 (만원)",24365,25114,25706
"부채 보유","소득2분위","자산1분위","가구분포 (%)",2.8,2.7,2.6
"부채 보유","소득2분위","자산1분위","가구원수 (명)",1.8,1.8,1.6
"부채 보유","소득2분위","자산1분위","가구주 연령 (세)",48.3,47.7,47.2
"부채 보유","소득2분위","자산1분위","경상소득(전년도) (만원)",3227,3453,3520
"부채 보유","소득2분위","자산1분위","자산 (만원)",3171,2990,2880
"부채 보유","소득2분위","자산1분위","부채 (만원)",2178,2466,2110
"부채 보유","소득2분위","자산1분위","원리금상환액(전년도) (만원)",644,722,871
"부채 보유","소득2분위","자산1분위","순자산액 (만원)",992,525,770
"부채 보유","소득2분위","자산2분위","가구분포 (%)",3.4,3.4,3.0
"부채 보유","소득2분위","자산2분위","가구원수 (명)",1.9,1.7,1.7
"부채 보유","소득2분위","자산2분위","가구주 연령 (세)",49.3,48.0,48.1
"부채 보유","소득2분위","자산2분위","경상소득(전년도) (만원)",3382,3528,3616
"부채 보유","소득2분위","자산2분위","자산 (만원)",13649,14523,13787
"부채 보유","소득2분위","자산2분위","부채 (만원)",4414,5209,5371
"부채 보유","소득2분위","자산2분위","원리금상환액(전년도) (만원)",921,932,944
"부채 보유","소득2분위","자산2분위","순자산액 (만원)",9234,9314,8417
"부채 보유","소득2분위","자산3분위","가구분포 (%)",2.5,2.3,2.4
"부채 보유","소득2분위","자산3분위","가구원수 (명)",2.1,2.1,2.0
"부채 보유","소득2분위","자산3분위","가구주 연령 (세)",53.2,52.9,55.7
"부채 보유","소득2분위","자산3분위","경상소득(전년도) (만원)",3421,3636,3701
"부채 보유","소득2분위","자산3분위","자산 (만원)",30471,30320,29985
"부채 보유","소득2분위","자산3분위","부채 (만원)",8852,8456,7956
"부채 보유","소득2분위","자산3분위","원리금상환액(전년도) (만원)",1519,1149,1032
"부채 보유","소득2분위","자산3분위","순자산액 (만원)",21619,21865,22029
"부채 보유","소득2분위","자산4분위","가구분포 (%)",1.5,1.6,1.7
"부채 보유","소득2분위","자산4분위","가구원수 (명)",2.2,2.0,2.0
"부채 보유","소득2분위","자산4분위","가구주 연령 (세)",57.5,58.8,59.0
"부채 보유","소득2분위","자산4분위","경상소득(전년도) (만원)",3434,3617,3696
"부채 보유","소득2분위","자산4분위","자산 (만원)",55834,55144,56167
"부채 보유","소득2분위","자산4분위","부채 (만원)",12619,11996,11820
"부채 보유","소득2분위","자산4분위","원리금상환액(전년도) (만원)",1160,1460,1418
"부채 보유","소득2분위","자산4분위","순자산액 (만원)",43215,43148,44346
"부채 보유","소득2분위","자산5분위","가구분포 (%)",1.1,1.1,1.0
"부채 보유","소득2분위","자산5분위","가구원수 (명)",2.1,2.0,2.0
"부채 보유","소득2분위","자산5분위","가구주 연령 (세)",65.0,63.5,65.9
"부채 보유","소득2분위","자산5분위","경상소득(전년도) (만원)",3334,3597,3693
"부채 보유","소득2분위","자산5분위","자산 (만원)",135456,140196,144982
"부채 보유","소득2분위","자산5분위","부채 (만원)",24732,26171,27362
"부채 보유","소득2분위","자산5분위","원리금상환액(전년도) (만원)",1726,1323,1562
"부채 보유","소득2분위","자산5분위","순자산액 (만원)",110724,114025,117620
"부채 보유","소득3분위","전체","가구분포 (%)",14.0,13.4,13.3
"부채 보유","소득3분위","전체","가구원수 (명)",2.6,2.5,2.4
"부채 보유","소득3분위","전체","가구주 연령 (세)",50.8,50.3,50.7
"부채 보유","소득3분위","전체","경상소득(전년도) (만원)",5398,5714,5850
"부채 보유","소득3분위","전체","자산 (만원)",44985,45584,46503
"부채 보유","소득3분위","전체","부채 (만원)",10662,10976,12096
"부채 보유","소득3분위","전체","원리금상환액(전년도) (만원)",1462,1558,1732
"부채 보유","소득3분위","전체","순자산액 (만원)",34323,34609,34407
"부채 보유","소득3분위","자산1분위","가구분포 (%)",1.6,1.4,1.4
"부채 보유","소득3분위","자산1분위","가구원수 (명)",2.5,2.3,2.2
"부채 보유","소득3분위","자산1분위","가구주 연령 (세)",47.3,46.2,47.7
"부채 보유","소득3분위","자산1분위","경상소득(전년도) (만원)",5290,5497,5626
"부채 보유","소득3분위","자산1분위","자산 (만원)",3732,3719,3669
"부채 보유","소득3분위","자산1분위","부채 (만원)",2713,3077,2861
"부채 보유","소득3분위","자산1분위","원리금상환액(전년도) (만원)",1135,961,978
"부채 보유","소득3분위","자산1분위","순자산액 (만원)",1019,642,807
"부채 보유","소득3분위","자산2분위","가구분포 (%)",3.5,2.9,3.1
"부채 보유","소득3분위","자산2분위","가구원수 (명)",2.4,2.3,2.3
"부채 보유","소득3분위","자산2분위","가구주 연령 (세)",47.2,47.3,47.4
"부채 보유","소득3분위","자산2분위","경상소득(전년도) (만원)",5355,5637,5762
"부채 보유","소득3분위","자산2분위","자산 (만원)",14855,15009,14861
"부채 보유","소득3분위","자산2분위","부채 (만원)",5598,5202,5163
"부채 보유","소득3분위","자산2분위","원리금상환액(전년도) (만원)",1303,1445,1407
"부채 보유","소득3분위","자산2분위","순자산액 (만원)",9257,9807,9697
"부채 보유","소득3분위","자산3분위","가구분포 (%)",3.8,4.1,4.1
"부채 보유","소득3분위","자산3분위","가구원수 (명)",2.7,2.6,2.4
"부채 보유","소득3분위","자산3분위","가구주 연령 (세)",49.4,47.9,48.5
"부채 보유","소득3분위","자산3분위","경상소득(전년도) (만원)",5407,5717,5878
"부채 보유","소득3분위","자산3분위","자산 (만원)",30385,30443,30153
"부채 보유","소득3분위","자산3분위","부채 (만원)",8541,8942,9874
"부채 보유","소득3분위","자산3분위","원리금상환액(전년도) (만원)",1273,1347,1742
"부채 보유","소득3분위","자산3분위","순자산액 (만원)",21844,21502,20279
"부채 보유","소득3분위","자산4분위","가구분포 (%)",2.9,3.0,2.9
"부채 보유","소득3분위","자산4분위","가구원수 (명)",2.7,2.7,2.6
"부채 보유","소득3분위","자산4분위","가구주 연령 (세)",52.8,52.1,52.1
"부채 보유","소득3분위","자산4분위","경상소득(전년도) (만원)",5479,5805,5983
"부채 보유","소득3분위","자산4분위","자산 (만원)",55879,55955,57267
"부채 보유","소득3분위","자산4분위","부채 (만원)",13686,14406,15676
"부채 보유","소득3분위","자산4분위","원리금상환액(전년도) (만원)",2008,1975,2186
"부채 보유","소득3분위","자산4분위","순자산액 (만원)",42193,41549,41591
"부채 보유","소득3분위","자산5분위","가구분포 (%)",2.2,1.9,1.9
"부채 보유","소득3분위","자산5분위","가구원수 (명)",2.6,2.6,2.5
"부채 보유","소득3분위","자산5분위","가구주 연령 (세)",59.1,60.7,60.2
"부채 보유","소득3분위","자산5분위","경상소득(전년도) (만원)",5424,5847,5889
"부채 보유","소득3분위","자산5분위","자산 (만원)",134770,140738,145213
"부채 보유","소득3분위","자산5분위","부채 (만원)",24344,24806,28923
"부채 보유","소득3분위","자산5분위","원리금상환액(전년도) (만원)",1561,1971,2078
"부채 보유","소득3분위","자산5분위","순자산액 (만원)",110427,115933,116290
"부채 보유","소득4분위","전체","가구분포 (%)",15.1,14.7,14.2
"부채 보유","소득4분위","전체","가구원수 (명)",3.1,3.0,3.0
"부채 보유","소득4분위","전체","가구주 연령 (세)",49.8,49.9,50.7
"부채 보유","소득4분위","전체","경상소득(전년도) (만원)",8118,8621,8900
"부채 보유","소득4분위","전체","자산 (만원)",60635,63571,67551
"부채 보유","소득4분위","전체","부채 (만원)",15111,15222,15881
"부채 보유","소득4분위","전체","원리금상환액(전년도) (만원)",1835,2113,2109
"부채 보유","소득4분위","전체","순자산액 (만원)",45524,48348,51670
"부채 보유","소득4분위","자산1분위","가구분포 (%)",0.7,0.6,0.5
"부채 보유","소득4분위","자산1분위","가구원수 (명)",3.1,3.1,2.6
"부채 보유","소득4분위","자산1분위","가구주 연령 (세)",50.7,49.1,48.9
"부채 보유","소득4분위","자산1분위","경상소득(전년도) (만원)",7763,8458,8651
"부채 보유","소득4분위","자산1분위","자산 (만원)",3674,4071,3946
"부채 보유","소득4분위","자산1분위","부채 (만원)",3749,2535,3171
"부채 보유","소득4분위","자산1분위","원리금상환액(전년도) (만원)",1175,1325,1085
"부채 보유","소득4분위","자산1분위","순자산액 (만원)",-75,1536,775
"부채 보유","소득4분위","자산2분위","가구분포 (%)",2.3,2.0,1.9
"부채 보유","소득4분위","자산2분위","가구원수 (명)",3.1,2.9,2.9
"부채 보유","소득4분위","자산2분위","가구주 연령 (세)",47.5,48.2,48.6
"부채 보유","소득4분위","자산2분위","경상소득(전년도) (만원)",7904,8339,8677
"부채 보유","소득4분위","자산2분위","자산 (만원)",16106,16121,15349
"부채 보유","소득4분위","자산2분위","부채 (만원)",6204,6629,5497
"부채 보유","소득4분위","자산2분위","원리금상환액(전년도) (만원)",1444,1531,1371
"부채 보유","소득4분위","자산2분위","순자산액 (만원)",9902,9492,9852
"부채 보유","소득4분위","자산3분위","가구분포 (%)",4.0,3.9,3.7
"부채 보유","소득4분위","자산3분위","가구원수 (명)",3.0,3.0,3.0
"부채 보유","소득4분위","자산3분위","가구주 연령 (세)",47.7,47.0,48.5
"부채 보유","소득4분위","자산3분위","경상소득(전년도) (만원)",8111,8550,8730
"부채 보유","소득4분위","자산3분위","자산 (만원)",30787,31349,31590
"부채 보유","소득4분위","자산3분위","부채 (만원)",9838,10128,8891
"부채 보유","소득4분위","자산3분위","원리금상환액(전년도) (만원)",1608,1788,1509
"부채 보유","소득4분위","자산3분위","순자산액 (만원)",20949,21221,22699
"부채 보유","소득4분위","자산4분위","가구분포 (%)",4.8,4.6,4.6
"부채 보유","소득4분위","자산4분위","가구원수 (명)",3.2,3.1,3.1
"부채 보유","소득4분위","자산4분위","가구주 연령 (세)",48.8,48.5,49.4
"부채 보유","소득4분위","자산4분위","경상소득(전년도) (만원)",8140,8649,9028
"부채 보유","소득4분위","자산4분위","자산 (만원)",56801,55990,57643
"부채 보유","소득4분위","자산4분위","부채 (만원)",14716,15105,15773
"부채 보유","소득4분위","자산4분위","원리금상환액(전년도) (만원)",2187,2198,2306
"부채 보유","소득4분위","자산4분위","순자산액 (만원)",42085,40885,41870
"부채 보유","소득4분위","자산5분위","가구분포 (%)",3.4,3.6,3.4
"부채 보유","소득4분위","자산5분위","가구원수 (명)",3.1,3.0,2.9
"부채 보유","소득4분위","자산5분위","가구주 연령 (세)",55.1,55.9,56.1
"부채 보유","소득4분위","자산5분위","경상소득(전년도) (만원)",8310,8846,9071
"부채 보유","소득4분위","자산5분위","자산 (만원)",143040,144560,158430
"부채 보유","소득4분위","자산5분위","부채 (만원)",30225,27805,31274
"부채 보유","소득4분위","자산5분위","원리금상환액(전년도) (만원)",1998,2811,3053
"부채 보유","소득4분위","자산5분위","순자산액 (만원)",112815,116755,127156
"부채 보유","소득5분위","전체","가구분포 (%)",15.5,15.3,14.9
"부채 보유","소득5분위","전체","가구원수 (명)",3.5,3.4,3.3
"부채 보유","소득5분위","전체","가구주 연령 (세)",50.9,51.4,51.6
"부채 보유","소득5분위","전체","경상소득(전년도) (만원)",15469,16491,17217
"부채 보유","소득5분위","전체","자산 (만원)",123252,131659,144942
"부채 보유","소득5분위","전체","부채 (만원)",26549,26892,29906
"부채 보유","소득5분위","전체","원리금상환액(전년도) (만원)",3233,3068,3407
"부채 보유","소득5분위","전체","순자산액 (만원)",96703,104767,115036
"부채 보유","소득5분위","자산1분위","가구분포 (%)",0.1,0.1,0.1
"부채 보유","소득5분위","자산1분위","가구원수 (명)",4.1,3.4,3.8
"부채 보유","소득5분위","자산1분위","가구주 연령 (세)",54.1,55.8,57.6
"부채 보유","소득5분위","자산1분위","경상소득(전년도) (만원)",11299,12504,13478
"부채 보유","소득5분위","자산1분위","자산 (만원)",4036,3594,3746
"부채 보유","소득5분위","자산1분위","부채 (만원)",4699,5816,5980
"부채 보유","소득5분위","자산1분위","원리금상환액(전년도) (만원)",1949,2040,1259
"부채 보유","소득5분위","자산1분위","순자산액 (만원)",-662,-2221,-2234
"부채 보유","소득5분위","자산2분위","가구분포 (%)",0.5,0.5,0.4
"부채 보유","소득5분위","자산2분위","가구원수 (명)",3.4,3.7,3.6
"부채 보유","소득5분위","자산2분위","가구주 연령 (세)",49.4,50.6,52.1
"부채 보유","소득5분위","자산2분위","경상소득(전년도) (만원)",12112,12780,13829
"부채 보유","소득5분위","자산2분위","자산 (만원)",15376,16307,15390
"부채 보유","소득5분위","자산2분위","부채 (만원)",5232,5910,6037
"부채 보유","소득5분위","자산2분위","원리금상환액(전년도) (만원)",1766,1217,1525
"부채 보유","소득5분위","자산2분위","순자산액 (만원)",10144,10397,9353
"부채 보유","소득5분위","자산3분위","가구분포 (%)",1.8,1.8,1.7
"부채 보유","소득5분위","자산3분위","가구원수 (명)",3.5,3.4,3.4
"부채 보유","소득5분위","자산3분위","가구주 연령 (세)",49.2,48.4,48.9
"부채 보유","소득5분위","자산3분위","경상소득(전년도) (만원)",12464,12899,13750
"부채 보유","소득5분위","자산3분위","자산 (만원)",32073,32447,32617
"부채 보유","소득5분위","자산3분위","부채 (만원)",8552,9015,9603
"부채 보유","소득5분위","자산3분위","원리금상환액(전년도) (만원)",2191,2195,2205
"부채 보유","소득5분위","자산3분위","순자산액 (만원)",23521,23433,23014
"부채 보유","소득5분위","자산4분위","가구분포 (%)",4.7,4.3,4.1
"부채 보유","소득5분위","자산4분위","가구원수 (명)",3.5,3.5,3.4
"부채 보유","소득5분위","자산4분위","가구주 연령 (세)",48.9,49.0,48.7
"부채 보유","소득5분위","자산4분위","경상소득(전년도) (만원)",13774,14027,14608
"부채 보유","소득5분위","자산4분위","자산 (만원)",58630,59363,61722
"부채 보유","소득5분위","자산4분위","부채 (만원)",15118,14830,16334
"부채 보유","소득5분위","자산4분위","원리금상환액(전년도) (만원)",2832,2700,2530
"부채 보유","소득5분위","자산4분위","순자산액 (만원)",43512,44532,45387
"부채 보유","소득5분위","자산5분위","가구분포 (%)",8.4,8.5,8.6
"부채 보유","소득5분위","자산5분위","가구원수 (명)",3.4,3.4,3.3
"부채 보유","소득5분위","자산5분위","가구주 연령 (세)",52.4,53.2,53.5
"부채 보유","소득5분위","자산5분위","경상소득(전년도) (만원)",17319,18767,19366
"부채 보유","소득5분위","자산5분위","자산 (만원)",186933,197641,215148
"부채 보유","소득5분위","자산5분위","부채 (만원)",38368,38284,41894
"부채 보유","소득5분위","자산5분위","원리금상환액(전년도) (만원)",3787,3563,4183
"부채 보유","소득5분위","자산5분위","순자산액 (만원)",148565,159358,173254
"부채 미보유","전체","전체","가구분포 (%)",37.9,39.3,41.1
"부채 미보유","전체","전체","가구원수 (명)",2.0,2.0,1.9
"부채 미보유","전체","전체","가구주 연령 (세)",60.4,59.9,59.7
"부채 미보유","전체","전체","경상소득(전년도) (만원)",5021,5436,5683
"부채 미보유","전체","전체","자산 (만원)",33980,33425,34746
"부채 미보유","전체","전체","부채 (만원)",-,0,0
"부채 미보유","전체","전체","원리금상환액(전년도) (만원)",299,255,334
"부채 미보유","전체","전체","순자산액 (만원)",33980,33425,34746
"부채 미보유","전체","자산1분위","가구분포 (%)",12.3,12.7,13.1
"부채 미보유","전체","자산1분위","가구원수 (명)",1.4,1.4,1.4
"부채 미보유","전체","자산1분위","가구주 연령 (세)",60.9,59.4,59.3
"부채 미보유","전체","자산1분위","경상소득(전년도) (만원)",2357,2564,2650
"부채 미보유","전체","자산1분위","자산 (만원)",2458,2480,2403
"부채 미보유","전체","자산1분위","부채 (만원)",-,0,0
"부채 미보유","전체","자산1분위","원리금상환액(전년도) (만원)",82,93,123
"부채 미보유","전체","자산1분위","순자산액 (만원)",2458,2480,2403
"부채 미보유","전체","자산2분위","가구분포 (%)",8.9,9.5,10.0
"부채 미보유","전체","자산2분위","가구원수 (명)",1.8,1.8,1.7
"부채 미보유","전체","자산2분위","가구주 연령 (세)",60.8,60.0,59.4
"부채 미보유","전체","자산2분위","경상소득(전년도) (만원)",3671,3966,4178
"부채 미보유","전체","자산2분위","자산 (만원)",13757,13957,13650
"부채 미보유","전체","자산2분위","부채 (만원)",-,0,0
"부채 미보유","전체","자산2분위","원리금상환액(전년도) (만원)",164,175,290
"부채 미보유","전체","자산2분위","순자산액 (만원)",13757,13957,13650
"부채 미보유","전체","자산3분위","가구분포 (%)",6.8,6.9,7.3
"부채 미보유","전체","자산3분위","가구원수 (명)",2.3,2.2,2.2
"부채 미보유","전체","자산3분위","가구주 연령 (세)",60.3,60.4,60.7
"부채 미보유","전체","자산3분위","경상소득(전년도) (만원)",5300,5700,5782
"부채 미보유","전체","자산3분위","자산 (만원)",30009,30644,30328
"부채 미보유","전체","자산3분위","부채 (만원)",-,0,0
"부채 미보유","전체","자산3분위","원리금상환액(전년도) (만원)",280,262,340
"부채 미보유","전체","자산3분위","순자산액 (만원)",30009,30644,30328
"부채 미보유","전체","자산4분위","가구분포 (%)",5.5,5.7,6.0
"부채 미보유","전체","자산4분위","가구원수 (명)",2.5,2.5,2.5
"부채 미보유","전체","자산4분위","가구주 연령 (세)",59.8,60.8,60.2
"부채 미보유","전체","자산4분위","경상소득(전년도) (만원)",7229,7742,8375
"부채 미보유","전체","자산4분위","자산 (만원)",57033,56916,58031
"부채 미보유","전체","자산4분위","부채 (만원)",-,0,0
"부채 미보유","전체","자산4분위","원리금상환액(전년도) (만원)",433,641,423
"부채 미보유","전체","자산4분위","순자산액 (만원)",57033,56916,58031
"부채 미보유","전체","자산5분위","가구분포 (%)",4.4,4.4,4.7
"부채 미보유","전체","자산5분위","가구원수 (명)",2.9,2.9,2.8
"부채 미보유","전체","자산5분위","가구주 연령 (세)",59.0,59.0,59.6
"부채 미보유","전체","자산5분위","경상소득(전년도) (만원)",11922,13484,13746
"부채 미보유","전체","자산5분위","자산 (만원)",139058,138516,147134
"부채 미보유","전체","자산5분위","부채 (만원)",-,0,0
"부채 미보유","전체","자산5분위","원리금상환액(전년도) (만원)",1026,388,891
"부채 미보유","전체","자산5분위","순자산액 (만원)",139058,138516,147134
"부채 미보유","소득1분위","전체","가구분포 (%)",13.8,13.8,14.1
"부채 미보유","소득1분위","전체","가구원수 (명)",1.3,1.3,1.3
"부채 미보유","소득1분위","전체","가구주 연령 (세)",69.0,69.0,68.6
"부채 미보유","소득1분위","전체","경상소득(전년도) (만원)",1344,1431,1499
"부채 미보유","소득1분위","전체","자산 (만원)",13397,12817,12552
"부채 미보유","소득1분위","전체","부채 (만원)",-,0,0
"부채 미보유","소득1분위","전체","원리금상환액(전년도) (만원)",100,36,83
"부채 미보유","소득1분위","전체","순자산액 (만원)",13397,12817,12552
"부채 미보유","소득1분위","자산1분위","가구분포 (%)",7.8,7.7,8.0
"부채 미보유","소득1분위","자산1분위","가구원수 (명)",1.2,1.2,1.2
"부채 미보유","소득1분위","자산1분위","가구주 연령 (세)",67.1,66.9,66.4
"부채 미보유","소득1분위","자산1분위","경상소득(전년도) (만원)",1270,1345,1422
"부채 미보유","소득1분위","자산1분위","자산 (만원)",1986,1954,1869
"부채 미보유","소득1분위","자산1분위","부채 (만원)",-,0,0
"부채 미보유","소득1분위","자산1분위","원리금상환액(전년도) (만원)",54,41,57
"부채 미보유","소득1분위","자산1분위","순자산액 (만원)",1986,1954,1869
"부채 미보유","소득1분위","자산2분위","가구분포 (%)",3.4,3.6,3.5
"부채 미보유","소득1분위","자산2분위","가구원수 (명)",1.4,1.4,1.4
"부채 미보유","소득1분위","자산2분위","가구주 연령 (세)",70.6,70.7,71.6
"부채 미보유","소득1분위","자산2분위","경상소득(전년도) (만원)",1408,1508,1540
"부채 미보유","소득1분위","자산2분위","자산 (만원)",13177,13213,12873
"부채 미보유","소득1분위","자산2분위","부채 (만원)",-,0,0
"부채 미보유","소득1분위","자산2분위","원리금상환액(전년도) (만원)",73,20,103
"부채 미보유","소득1분위","자산2분위","순자산액 (만원)",13177,13213,12873
"부채 미보유","소득1분위","자산3분위","가구분포 (%)",1.5,1.4,1.7
"부채 미보유","소득1분위","자산3분위","가구원수 (명)",1.5,1.5,1.5
"부채 미보유","소득1분위","자산3분위","가구주 연령 (세)",72.3,72.5,69.9
"부채 미보유","소득1분위","자산3분위","경상소득(전년도) (만원)",1524,1586,1690
"부채 미보유","소득1분위","자산3분위","자산 (만원)",28758,29488,29322
"부채 미보유","소득1분위","자산3분위","부채 (만원)",-,0,0
"부채 미보유","소득1분위","자산3분위","원리금상환액(전년도) (만원)",46,9,200
"부채 미보유","소득1분위","자산3분위","순자산액 (만원)",28758,29488,29322
"부채 미보유","소득1분위","자산4분위","가구분포 (%)",0.8,0.8,0.7
"부채 미보유","소득1분위","자산4분위","가구원수 (명)",1.6,1.5,1.5
"부채 미보유","소득1분위","자산4분위","가구주 연령 (세)",72.5,74.5,74.1
"부채 미보유","소득1분위","자산4분위","경상소득(전년도) (만원)",1465,1604,1679
"부채 미보유","소득1분위","자산4분위","자산 (만원)",55230,55445,55203
"부채 미보유","소득1분위","자산4분위","부채 (만원)",-,0,0
"부채 미보유","소득1분위","자산4분위","원리금상환액(전년도) (만원)",161,121,8
"부채 미보유","소득1분위","자산4분위","순자산액 (만원)",55230,55445,55203
"부채 미보유","소득1분위","자산5분위","가구분포 (%)",0.3,0.2,0.2
"부채 미보유","소득1분위","자산5분위","가구원수 (명)",1.6,1.4,1.3
"부채 미보유","소득1분위","자산5분위","가구주 연령 (세)",73.8,74.7,73.8
"부채 미보유","소득1분위","자산5분위","경상소득(전년도) (만원)",1329,1546,1665
"부채 미보유","소득1분위","자산5분위","자산 (만원)",132867,110646,134716
"부채 미보유","소득1분위","자산5분위","부채 (만원)",-,0,0
"부채 미보유","소득1분위","자산5분위","원리금상환액(전년도) (만원)",1836,9,9
"부채 미보유","소득1분위","자산5분위","순자산액 (만원)",132867,110646,134716
"부채 미보유","소득2분위","전체","가구분포 (%)",8.8,8.8,9.4
"부채 미보유","소득2분위","전체","가구원수 (명)",1.8,1.7,1.7
"부채 미보유","소득2분위","전체","가구주 연령 (세)",57.5,57.0,57.5
"부채 미보유","소득2분위","전체","경상소득(전년도) (만원)",3252,3460,3534
"부채 미보유","소득2분위","전체","자산 (만원)",23842,22011,23199
"부채 미보유","소득2분위","전체","부채 (만원)",-,0,0
"부채 미보유","소득2분위","전체","원리금상환액(전년도) (만원)",164,139,193
"부채 미보유","소득2분위","전체","순자산액 (만원)",23842,22011,23199
"부채 미보유","소득2분위","자산1분위","가구분포 (%)",3.0,3.2,3.2
"부채 미보유","소득2분위","자산1분위","가구원수 (명)",1.7,1.6,1.5
"부채 미보유","소득2분위","자산1분위","가구주 연령 (세)",50.3,48.7,48.9
"부채 미보유","소득2분위","자산1분위","경상소득(전년도) (만원)",3227,3373,3455
"부채 미보유","소득2분위","자산1분위","자산 (만원)",3159,3059,2909
"부채 미보유","소득2분위","자산1분위","부채 (만원)",-,0,0
"부채 미보유","소득2분위","자산1분위","원리금상환액(전년도) (만원)",105,130,157
"부채 미보유","소득2분위","자산1분위","순자산액 (만원)",3159,3059,2909
"부채 미보유","소득2분위","자산2분위","가구분포 (%)",2.6,2.8,3.0
"부채 미보유","소득2분위","자산2분위","가구원수 (명)",1.7,1.7,1.6
"부채 미보유","소득2분위","자산2분위","가구주 연령 (세)",57.4,57.7,57.1
"부채 미보유","소득2분위","자산2분위","경상소득(전년도) (만원)",3215,3504,3546
"부채 미보유","소득2분위","자산2분위","자산 (만원)",13792,13944,13628
"부채 미보유","소득2분위","자산2분위","부채 (만원)",-,0,0
"부채 미보유","소득2분위","자산2분위","원리금상환액(전년도) (만원)",165,143,115
"부채 미보유","소득2분위","자산2분위","순자산액 (만원)",13792,13944,13628
"부채 미보유","소득2분위","자산3분위","가구분포 (%)",1.7,1.6,1.7
"부채 미보유","소득2분위","자산3분위","가구원수 (명)",2.0,1.9,1.9
"부채 미보유","소득2분위","자산3분위","가구주 연령 (세)",62.8,63.9,64.2
"부채 미보유","소득2분위","자산3분위","경상소득(전년도) (만원)",3305,3501,3631
"부채 미보유","소득2분위","자산3분위","자산 (만원)",29802,30288,30264
"부채 미보유","소득2분위","자산3분위","부채 (만원)",-,0,0
"부채 미보유","소득2분위","자산3분위","원리금상환액(전년도) (만원)",235,151,143
"부채 미보유","소득2분위","자산3분위","순자산액 (만원)",29802,30288,30264
"부채 미보유","소득2분위","자산4분위","가구분포 (%)",1.0,0.9,1.1
"부채 미보유","소득2분위","자산4분위","가구원수 (명)",2.1,2.1,2.0
"부채 미보유","소득2분위","자산4분위","가구주 연령 (세)",65.0,67.2,69.6
"부채 미보유","소득2분위","자산4분위","경상소득(전년도) (만원)",3296,3519,3574
"부채 미보유","소득2분위","자산4분위","자산 (만원)",55116,55340,57317
"부채 미보유","소득2분위","자산4분위","부채 (만원)",-,0,0
"부채 미보유","소득2분위","자산4분위","원리금상환액(전년도) (만원)",263,188,91
"부채 미보유","소득2분위","자산4분위","순자산액 (만원)",55116,55340,57317
"부채 미보유","소득2분위","자산5분위","가구분포 (%)",0.4,0.3,0.4
"부채 미보유","소득2분위","자산5분위","가구원수 (명)",2.0,1.8,1.9
"부채 미보유","소득2분위","자산5분위","가구주 연령 (세)",69.4,70.0,69.5
"부채 미보유","소득2분위","자산5분위","경상소득(전년도) (만원)",3325,3565,3563
"부채 미보유","소득2분위","자산5분위","자산 (만원)",127171,136589,144151
"부채 미보유","소득2분위","자산5분위","부채 (만원)",-,0,0
"부채 미보유","소득2분위","자산5분위","원리금상환액(전년도) (만원)",62,19,1655
"부채 미보유","소득2분위","자산5분위","순자산액 (만원)",127171,136589,144151
"부채 미보유","소득3분위","전체","가구분포 (%)",6.0,6.6,6.7
"부채 미보유","소득3분위","전체","가구원수 (명)",2.3,2.2,2.1
"부채 미보유","소득3분위","전체","가구주 연령 (세)",55.7,54.4,54.4
"부채 미보유","소득3분위","전체","경상소득(전년도) (만원)",5363,5671,5714
"부채 미보유","소득3분위","전체","자산 (만원)",34924,31939,34555
"부채 미보유","소득3분위","전체","부채 (만원)",-,0,0
"부채 미보유","소득3분위","전체","원리금상환액(전년도) (만원)",226,336,237
"부채 미보유","소득3분위","전체","순자산액 (만원)",34924,31939,34555
"부채 미보유","소득3분위","자산1분위","가구분포 (%)",1.0,1.3,1.2
"부채 미보유","소득3분위","자산1분위","가구원수 (명)",2.2,1.9,2.0
"부채 미보유","소득3분위","자산1분위","가구주 연령 (세)",50.1,46.2,46.6
"부채 미보유","소득3분위","자산1분위","경상소득(전년도) (만원)",5275,5521,5621
"부채 미보유","소득3분위","자산1분위","자산 (만원)",3488,3502,3690
"부채 미보유","소득3분위","자산1분위","부채 (만원)",-,0,0
"부채 미보유","소득3분위","자산1분위","원리금상환액(전년도) (만원)",140,235,206
"부채 미보유","소득3분위","자산1분위","순자산액 (만원)",3488,3502,3690
"부채 미보유","소득3분위","자산2분위","가구분포 (%)",1.8,1.9,2.0
"부채 미보유","소득3분위","자산2분위","가구원수 (명)",2.2,2.0,1.9
