"부채보유 여부별","소득5분위별","자산5분위별","자산, 부채, 소득 분류별",2023,2024,2025
"전체","소득1분위","자산5분위","경상소득(전년도) (만원)",1548,1670,1747
"전체","소득1분위","자산5분위","자산 (만원)",135606,130424,132539
"전체","소득1분위","자산5분위","부채 (만원)",18604,17316,11417
"전체","소득1분위","자산5분위","원리금상환액(전년도) (만원)",1176,514,645
"전체","소득1분위","자산5분위","순자산액 (만원)",117002,113107,121122
"전체","소득2분위","전체","가구분포 (%)",20.0,20.0,20.0
"전체","소득2분위","전체","가구원수 (명)",1.9,1.8,1.8
"전체","소득2분위","전체","가구주 연령 (세)",54.7,54.3,55.1
"전체","소득2분위","전체","경상소득(전년도) (만원)",3309,3512,3586
"전체","소득2분위","전체","자산 (만원)",28567,28367,28916
"전체","소득2분위","전체","부채 (만원)",4432,4625,4388
"전체","소득2분위","전체","원리금상환액(전년도) (만원)",685,643,663
"전체","소득2분위","전체","순자산액 (만원)",24135,23742,24529
"전체","소득2분위","자산1분위","가구분포 (%)",5.8,5.9,5.8
"전체","소득2분위","자산1분위","가구원수 (명)",1.7,1.7,1.6
"전체","소득2분위","자산1분위","가구주 연령 (세)",49.4,48.2,48.1
"전체","소득2분위","자산1분위","경상소득(전년도) (만원)",3227,3410,3484
"전체","소득2분위","자산1분위","자산 (만원)",3164,3027,2896
"전체","소득2분위","자산1분위","부채 (만원)",1041,1129,945
"전체","소득2분위","자산1분위","원리금상환액(전년도) (만원)",362,401,477
"전체","소득2분위","자산1분위","순자산액 (만원)",2124,1899,1951
"전체","소득2분위","자산2분위","가구분포 (%)",6.0,6.2,6.0
"전체","소득2분위","자산2분위","가구원수 (명)",1.8,1.7,1.6
"전체","소득2분위","자산2분위","가구주 연령 (세)",52.8,52.4,52.7
"전체","소득2분위","자산2분위","경상소득(전년도) (만원)",3310,3518,3580
"전체","소득2분위","자산2분위","자산 (만원)",13711,14261,13706
"전체","소득2분위","자산2분위","부채 (만원)",2500,2853,2653
"전체","소득2분위","자산2분위","원리금상환액(전년도) (만원)",593,575,524
"전체","소득2분위","자산2분위","순자산액 (만원)",11211,11408,11054
"전체","소득2분위","자산3분위","가구분포 (%)",4.1,3.9,4.1
"전체","소득2분위","자산3분위","가구원수 (명)",2.0,2.0,1.9
"전체","소득2분위","자산3분위","가구주 연령 (세)",57.1,57.3,59.3
"전체","소득2분위","자산3분위","경상소득(전년도) (만원)",3374,3582,3672
"전체","소득2분위","자산3분위","자산 (만원)",30200,30307,30102
"전체","소득2분위","자산3분위","부채 (만원)",5260,5056,4630
"전체","소득2분위","자산3분위","원리금상환액(전년도) (만원)",998,748,660
"전체","소득2분위","자산3분위","순자산액 (만원)",24940,25251,25472
"전체","소득2분위","자산4분위","가구분포 (%)",2.5,2.6,2.7
"전체","소득2분위","자산4분위","가구원수 (명)",2.1,2.0,2.0
"전체","소득2분위","자산4분위","가구주 연령 (세)",60.6,61.8,63.2
"전체","소득2분위","자산4분위","경상소득(전년도) (만원)",3377,3582,3648
"전체","소득2분위","자산4분위","자산 (만원)",55537,55215,56620
"전체","소득2분위","자산4분위","부채 (만원)",7406,7639,7160
"전체","소득2분위","자산4분위","원리금상환액(전년도) (만원)",789,998,894
"전체","소득2분위","자산4분위","순자산액 (만원)",48131,47576,49460
"전체","소득2분위","자산5분위","가구분포 (%)",1.5,1.4,1.4
"전체","소득2분위","자산5분위","가구원수 (명)",2.1,2.0,2.0
"전체","소득2분위","자산5분위","가구주 연령 (세)",66.3,65.0,66.9
"전체","소득2분위","자산5분위","경상소득(전년도) (만원)",3331,3589,3658
"전체","소득2분위","자산5분위","자산 (만원)",133061,139343,144759
"전체","소득2분위","자산5분위","부채 (만원)",17582,19980,20022
"전체","소득2분위","자산5분위","원리금상환액(전년도) (만원)",1245,1014,1587
"전체","소득2분위","자산5분위","순자산액 (만원)",115479,119363,124737
"전체","소득3분위","전체","가구분포 (%)",20.0,20.0,20.0
